id,features
505,"[-0.2823651432991028, -0.4483204185962677, 0.5786681771278381, -0.5376024842262268, -0.11352476477622986, 0.6908537745475769, 0.11279281228780746, -0.7011358737945557, -0.6512912511825562, -0.021073687821626663, 0.6821812987327576, 0.23512153327465057, -0.0463491789996624, 0.2981863021850586, -0.23953470587730408, 0.3018273711204529, -0.28603595495224, -0.45612138509750366, 0.3039386570453644, -0.3405715525150299, 0.2931528091430664, 0.17653480172157288, -0.214975968003273, -0.34371039271354675, 1.0079339742660522]"
515,"[0.03415267914533615, -0.7890739440917969, 0.6394703984260559, -0.9498944878578186, 0.18950816988945007, 0.26798468828201294, 0.48369598388671875, -0.28510022163391113, -0.5557291507720947, 0.04707299545407295, 0.47244077920913696, 0.2255844622850418, 0.13494427502155304, 0.04717507213354111, -0.2622623145580292, 0.40955519676208496, -0.07536805421113968, -0.04673503339290619, -0.1614735722541809, 0.0700160413980484, 0.35186246037483215, 0.7005857229232788, 0.11168080568313599, -0.578066349029541, 0.7033345699310303]"
525,"[0.06635532528162003, -0.5215804576873779, 0.6020833849906921, -0.4493813216686249, 0.020463276654481888, -0.10069608688354492, 0.6480146050453186, -0.5728311538696289, -0.6902918815612793, -0.2091396003961563, 0.2941146492958069, 0.3246147930622101, 0.17602941393852234, 0.07140074670314789, -0.3545677661895752, 0.1789865791797638, 0.010339346714317799, 0.0046538254246115685, -0.10007837414741516, 0.17533309757709503, 0.19319698214530945, 0.3907349407672882, -0.18595625460147858, -0.32674694061279297, 0.747863233089447]"
535,"[-0.23315827548503876, -0.871833324432373, 0.14615269005298615, -0.5482990145683289, 0.025028154253959656, 0.6954399943351746, 1.2057709693908691, -0.4140402674674988, 0.030361812561750412, 0.1898622363805771, 0.28409287333488464, 0.5673101544380188, 0.07793519645929337, 0.17839820683002472, -0.38747334480285645, -0.49932217597961426, 0.030212711542844772, -0.3614236116409302, 0.6602662205696106, -0.3380807638168335, -0.08793581277132034, 0.3680803179740906, 0.17793940007686615, -0.717597484588623, -0.0016738750273361802]"
545,"[-0.08749900758266449, -0.4802056550979614, 0.9909124374389648, -0.7756568193435669, 0.3890753388404846, 0.38139763474464417, 0.5174698233604431, -0.09546953439712524, -0.1744842231273651, 0.3048584759235382, 0.4323315918445587, 0.4553416669368744, -0.26761236786842346, 0.18655258417129517, -0.06587987393140793, 0.1033291444182396, -0.20249515771865845, 0.18289214372634888, 0.23429934680461884, 0.06699347496032715, 0.3546675741672516, 0.3190416395664215, -0.0009585021762177348, -0.7381389141082764, 0.49964025616645813]"
555,"[-0.4656587243080139, -0.3535037338733673, 0.681650698184967, -0.7005929350852966, -0.6822294592857361, 0.4719724655151367, 0.6471657752990723, -0.9098870158195496, -0.4864727556705475, 0.49626824259757996, 0.4907553791999817, 0.19078320264816284, 0.0838567391037941, -0.09154774248600006, -0.06463311612606049, 0.408735066652298, 0.1313546895980835, 0.0756547674536705, 0.06350287050008774, 0.09961936622858047, 0.17965997755527496, 0.3775104284286499, -0.06623900681734085, -0.34943366050720215, 0.6970473527908325]"
565,"[-0.22875730693340302, -0.6819988489151001, 0.5805490016937256, -0.9323829412460327, 0.04070178046822548, 0.23579201102256775, 0.6715010404586792, -0.49543842673301697, -0.43008866906166077, 0.03960953280329704, 0.15491706132888794, 0.17747552692890167, 0.15010419487953186, 0.029551181942224503, 0.09058446437120438, -0.1030602902173996, 0.018830062821507454, -0.2302449643611908, 0.2889018654823303, -0.23824648559093475, 0.12735991179943085, 0.5270789861679077, 0.271636426448822, -0.5321584939956665, 0.4432343542575836]"
575,"[-0.12561210989952087, -0.47712573409080505, 0.47072547674179077, -0.3117906153202057, -0.07186497747898102, 0.32463935017585754, 0.6388980150222778, -0.7250950932502747, -0.3760777711868286, 0.21123982965946198, 0.6043487191200256, 0.2477097064256668, 0.5787541270256042, -0.1667608618736267, -0.1322784125804901, 0.3001400828361511, -0.2885216474533081, -0.21564173698425293, 0.5737821459770203, -0.4334166347980499, 0.315948486328125, 0.4081696569919586, -0.3975455164909363, -0.6613503694534302, 0.7053426504135132]"
585,"[0.03221271559596062, -0.4606211185455322, 0.3393692970275879, -0.8748284578323364, -0.13023598492145538, 0.2935417890548706, 0.5834139585494995, -0.23054835200309753, -0.5449826121330261, 0.2912950813770294, 0.5390494465827942, 0.2595219612121582, 0.010983279906213284, 0.01898215338587761, 0.04461101070046425, 0.06700363755226135, -0.12912337481975555, -0.2072361409664154, 0.35001397132873535, 0.011302754282951355, 0.03300665318965912, 0.4045464098453522, -0.002814723178744316, -0.5418907403945923, 1.1439753770828247]"
595,"[-0.30749768018722534, -0.32610002160072327, 0.7833816409111023, -0.7929421067237854, 0.32281288504600525, 0.48101678490638733, 0.8749738931655884, -0.38045328855514526, -0.2792206108570099, -0.30873098969459534, 0.5977724194526672, 0.18300804495811462, 0.565796434879303, 0.055394724011421204, -0.07218514382839203, 0.18675322830677032, -0.017311736941337585, -0.32192909717559814, 0.017074929550290108, -0.20667152106761932, -0.04684355482459068, 0.4530103802680969, 0.10027682781219482, -0.6264252662658691, 0.6970286965370178]"
605,"[0.10089071094989777, -0.28379368782043457, 0.7091736793518066, -0.7569350004196167, 0.01659209281206131, 0.15407760441303253, 0.2754596173763275, -0.391698956489563, -0.15368475019931793, 0.011469950899481773, 0.42026767134666443, 0.39302387833595276, -0.04246581718325615, 0.26186278462409973, -0.28148043155670166, 0.595885157585144, 0.045539114624261856, 0.15661326050758362, -0.3610682189464569, 0.05222062021493912, 0.05993747338652611, 0.3397161662578583, -0.1996903270483017, -0.22211287915706635, 0.9738489389419556]"
6,"[-0.30490219593048096, -0.1989021748304367, 1.1753103733062744, -0.5802155137062073, -0.2189246565103531, 0.07934196293354034, 0.26612043380737305, -0.4713975489139557, -0.4559428095817566, 0.3368491232395172, 0.3196576237678528, 0.36915507912635803, 0.08298240602016449, 0.03778094798326492, -0.2955864667892456, 0.22546188533306122, -0.16409844160079956, 0.47362202405929565, -0.42099109292030334, 0.020517555996775627, 0.01770029217004776, 0.5055350661277771, 0.4530467092990875, -0.4915935695171356, 0.8162892460823059]"
16,"[0.1256840080022812, -0.5942473411560059, 0.2831387221813202, -0.6072101593017578, 0.052228640764951706, 0.32719263434410095, 0.5824455618858337, -0.3546770215034485, -0.6609891653060913, -0.1781984120607376, 0.52314692735672, 0.21368546783924103, 0.13300207257270813, 0.08969283849000931, -0.023263227194547653, 0.06762060523033142, -0.00307064363732934, -0.12738938629627228, 0.1795729100704193, -0.03456878289580345, 0.2522869408130646, 0.23109742999076843, 0.04349621385335922, -0.47801437973976135, 0.5162285566329956]"
26,"[-0.13906732201576233, -0.5359452366828918, 0.45818933844566345, -0.3831678330898285, -0.07216791063547134, 0.4915543794631958, 0.4759378731250763, -0.35511329770088196, -0.2562905251979828, 0.1254473775625229, 0.42446577548980713, 0.24132898449897766, -0.054639317095279694, 0.11805747449398041, -0.5116999745368958, 0.3553464114665985, -0.05461931973695755, 0.022854996845126152, 0.14131279289722443, -0.12273930013179779, 0.31197819113731384, 0.3199421465396881, -0.1898675262928009, -0.6205195784568787, 0.5734700560569763]"
36,"[0.6419557332992554, -0.7339643836021423, 0.42028141021728516, 0.06596872955560684, -0.2552121877670288, 0.2360156774520874, 0.505149781703949, -0.28243592381477356, -0.08984363079071045, -0.002060915809124708, 0.5988546013832092, 0.16303293406963348, -0.033932507038116455, -0.0730619803071022, -0.277844101190567, 0.1037881150841713, -0.4192078411579132, -0.36109766364097595, 0.4636116027832031, -0.2371850311756134, 0.531108558177948, 0.4145090878009796, -0.0008267665398307145, -0.5286458134651184, 0.43544507026672363]"
46,"[-0.13450731337070465, -0.7175594568252563, 1.176374077796936, -0.5484283566474915, -0.11831386387348175, 0.11856751143932343, 0.39150792360305786, -0.5937018990516663, -0.10781604051589966, 0.3103622794151306, 0.22375404834747314, 0.13325414061546326, -0.3132575452327728, -0.02893129736185074, -0.38925814628601074, 0.056621816009283066, 0.07607395946979523, 0.10032173991203308, 0.011629336513578892, -0.16310536861419678, 0.062279634177684784, 0.47097450494766235, 0.5214037299156189, -0.6573818325996399, 0.9875550270080566]"
56,"[-0.3273005187511444, -0.17314063012599945, 0.6745045781135559, -1.1394836902618408, 0.1478632092475891, 0.03386123105883598, 0.7097488641738892, -0.6298680305480957, -0.5272590517997742, 0.18013259768486023, 0.18436425924301147, -0.0756465420126915, -0.2794426679611206, -0.22071324288845062, -0.15777261555194855, 0.366055428981781, 0.20687587559223175, -0.17587248980998993, -0.2896553874015808, 0.035523898899555206, 0.27298176288604736, 0.44737622141838074, 0.13467268645763397, -0.5815118551254272, 0.7216377258300781]"
66,"[-0.025087743997573853, -0.7079129219055176, 0.6661083102226257, -0.5988142490386963, 0.1103314533829689, 0.3623148798942566, 0.7066472768783569, -0.5151709318161011, -0.6139808893203735, 0.18279342353343964, 0.7082486152648926, 0.3964167535305023, 0.022176170721650124, 0.03478492051362991, 0.08880996704101562, 0.31691765785217285, -0.0012317668879404664, -0.15997856855392456, 0.06296129524707794, 0.06098954752087593, 0.24248555302619934, 0.1906091570854187, 0.08985300362110138, -0.5792496204376221, 0.6224140524864197]"
76,"[-0.2225649654865265, -0.7623948454856873, 0.3387209475040436, -0.15910710394382477, 0.024110347032546997, 0.8929149508476257, 0.7758501172065735, 0.09160374104976654, -0.16831424832344055, 0.10643671452999115, 0.6272825598716736, 0.056951481848955154, 0.16191527247428894, 0.012721538543701172, -0.6473881006240845, 0.5716772675514221, 0.023675449192523956, -0.32220175862312317, 0.882332980632782, -0.4353824853897095, 0.004042472690343857, 0.21529437601566315, 0.10069867223501205, 0.25156620144844055, 0.4335772693157196]"
86,"[0.01143887359648943, -0.3650800585746765, 0.6693361401557922, -0.5939298868179321, 0.1540544480085373, -0.017491791397333145, 0.733476459980011, -0.5001407265663147, -0.6288838982582092, 0.14769957959651947, 0.5803371071815491, 0.31660348176956177, 0.11864335834980011, 0.19208112359046936, -0.26660141348838806, 0.3946647644042969, -0.15099859237670898, 0.22526705265045166, -0.24720512330532074, -0.02778560481965542, 0.4219113886356354, 0.40169355273246765, 0.2016763538122177, -0.2508607804775238, 0.6946431398391724]"
96,"[0.10271206498146057, -0.7352148294448853, 0.813227653503418, -0.48723873496055603, -0.7514525651931763, 0.38841110467910767, 0.46140679717063904, -0.8278491497039795, -0.13602373003959656, 0.0782836526632309, 0.2782292068004608, 0.2280702292919159, -0.4235345423221588, -0.04300649091601372, -0.1251455694437027, -0.4021818935871124, 0.2955318093299866, -0.0023167154286056757, 0.17212069034576416, -0.06881912052631378, 0.5185298323631287, 0.8556417226791382, -0.5330279469490051, -0.8900240659713745, 0.5233520865440369]"
106,"[-0.06521333754062653, -0.7748066186904907, 0.6656648516654968, -0.7429899573326111, -0.031440433114767075, 0.11485237628221512, 0.34305843710899353, -0.3357619047164917, 0.10629794746637344, -0.10450964421033859, 0.578395664691925, 0.3834551274776459, 0.31810247898101807, 0.04446978494524956, -0.5770164132118225, 0.11545998603105545, 0.1368921846151352, -0.10610947757959366, -0.29382649064064026, 0.01658163033425808, 0.07871843874454498, 0.7437373995780945, -0.04401396960020065, -0.5539132952690125, 1.1242059469223022]"
116,"[0.29654061794281006, -0.24035930633544922, 1.2660390138626099, -0.12579259276390076, -0.08464774489402771, -0.2357596457004547, 0.7146871089935303, -0.08054447174072266, -0.2837281823158264, 0.3274660110473633, 0.2991260290145874, 0.5182666778564453, 0.318408727645874, -0.09426533430814743, -0.4414370059967041, 0.18124869465827942, 0.36746519804000854, 0.17858736217021942, -0.15670545399188995, -0.5604950785636902, 0.8116012811660767, 0.41841599345207214, 0.17599965631961823, -0.7595812082290649, 0.3422127962112427]"
126,"[-0.05263807252049446, -0.004625551402568817, 0.6401945352554321, -0.6967489123344421, 0.04569428414106369, 0.3594174385070801, 0.3428453207015991, -0.7380459904670715, -0.309624582529068, 0.42053377628326416, -0.07199804484844208, 0.6335805058479309, -0.8435660004615784, -0.660169780254364, -0.44755643606185913, 0.0845089927315712, 0.04925999417901039, 0.4266435503959656, 0.27016913890838623, 0.49552300572395325, 0.03124198690056801, 0.7418590188026428, 0.49603450298309326, -0.8736698627471924, 0.5920976996421814]"
136,"[-0.2614758312702179, 0.09224625676870346, 0.8533850312232971, -0.04213492199778557, -0.4163820743560791, -0.030923666432499886, 0.8969535231590271, -0.6112377047538757, -0.7802003622055054, 0.12506096065044403, 0.631259024143219, 0.5827825665473938, -0.29621338844299316, -0.5321635007858276, -0.26911938190460205, 0.26575756072998047, 0.14138595759868622, 0.13249614834785461, 0.2819855213165283, 0.23767034709453583, 0.2506216764450073, 0.263326495885849, 0.06525186449289322, -0.47106584906578064, 0.9617491960525513]"
146,"[0.06177568808197975, -0.5882858633995056, 0.7249482274055481, -0.6853612065315247, -0.0700586810708046, 0.22455374896526337, 0.17692895233631134, -0.6119897365570068, -0.2931266725063324, 0.06756981462240219, 0.4989264905452728, 0.250043660402298, -0.0444389171898365, 0.25999030470848083, 0.10350830107927322, 0.09616662561893463, -0.35839980840682983, 0.14499947428703308, -0.21953172981739044, 0.29917460680007935, -0.28257206082344055, 0.5869490504264832, -0.2363615781068802, -0.35401439666748047, 0.6935828328132629]"
156,"[0.05868776887655258, -0.6746158003807068, 0.5575841665267944, -0.7565309405326843, -0.17232997715473175, 0.20827925205230713, 0.47709548473358154, -0.36568254232406616, -0.6973575353622437, -0.33523088693618774, 0.5455125570297241, 0.025897732004523277, 0.19854231178760529, -0.1035880371928215, 0.22724665701389313, -0.22909867763519287, 0.18816550076007843, -0.16428686678409576, 0.224687859416008, 0.30815067887306213, 0.41621145606040955, 0.4212135672569275, -0.29943832755088806, -0.46938955783843994, 0.56159907579422]"
166,"[0.13151787221431732, -0.6255456805229187, 0.6699550747871399, -0.7779724597930908, 0.19195082783699036, 0.2551770508289337, 0.5062555074691772, -0.4824780225753784, -0.2608015835285187, 0.02838602103292942, 0.5535888075828552, 0.26213040947914124, 0.04733090475201607, -0.06641450524330139, -0.14133015275001526, 0.34870651364326477, 0.007516059558838606, -0.29363006353378296, -0.14062076807022095, 0.13779976963996887, 0.2609024941921234, 0.5234616994857788, -0.011281047016382217, -0.4126751720905304, 0.7592059373855591]"
176,"[-0.006421272177249193, -0.12250373512506485, 1.0011966228485107, -0.5730535387992859, 0.43920984864234924, 0.365919291973114, 0.5487809777259827, -0.44559943675994873, -0.3336498439311981, 0.25940239429473877, 0.5860206484794617, 0.6094127297401428, -0.01052237581461668, 0.033076390624046326, -0.09003092348575592, 0.45618370175361633, 0.06583605706691742, 0.4636189937591553, 0.41714659333229065, 0.11657583713531494, -0.07667997479438782, 0.849355161190033, 0.5309519171714783, -0.5956454277038574, 0.6461506485939026]"
186,"[0.15451376140117645, -0.37598031759262085, 0.8675158023834229, -0.7486989498138428, 0.09787619113922119, 0.46674904227256775, 0.27725058794021606, -0.6169133186340332, -0.43611401319503784, 0.16282585263252258, 0.5674625635147095, 0.010784064419567585, 0.36641883850097656, 0.17528758943080902, -0.09705173969268799, 0.2508181929588318, 0.028187638148665428, 0.09001224488019943, -0.09550974518060684, -0.1552337259054184, 0.26492181420326233, 0.269398033618927, 0.08822551369667053, -0.7351477742195129, 0.9745688438415527]"
196,"[0.19890223443508148, -0.44391828775405884, 0.9670273065567017, -0.43430209159851074, -0.28222548961639404, 0.004443174693733454, 0.45636481046676636, -0.6267426609992981, 0.011465568095445633, 0.07581358402967453, 0.37420859932899475, 0.09504999220371246, -0.23734287917613983, -0.22397762537002563, -0.7221612930297852, -0.12018748372793198, 0.10493352264165878, 0.37576720118522644, -0.11947601288557053, 0.07288491725921631, 0.11933813244104385, 0.6167323589324951, 0.18845626711845398, -0.6468271017074585, 0.9064031839370728]"
206,"[-0.1900327503681183, -0.6942582726478577, 0.7389939427375793, -0.8045816421508789, -0.012215240858495235, 0.10350779443979263, 0.4478663504123688, -0.49140796065330505, -0.5780894160270691, -0.06723421812057495, 0.6748414635658264, 0.20777148008346558, 0.2957386076450348, -0.21775943040847778, 0.14392563700675964, -0.39389538764953613, -0.2956627607345581, 0.26580679416656494, -0.27618303894996643, 0.230705127120018, 0.027937762439250946, 0.11354127526283264, -0.04150041565299034, -0.8814722299575806, 0.6002511978149414]"
216,"[0.2702653408050537, -0.8049660921096802, 0.4860149323940277, -0.6983709931373596, -0.2428818941116333, 0.42424097657203674, 0.5444095730781555, -0.24919132888317108, -0.19820255041122437, 0.2807891368865967, 0.3253914713859558, 0.017229588702321053, 0.19121554493904114, 0.2554559111595154, -0.09991202503442764, -0.19299784302711487, -0.5931786298751831, -0.04071175679564476, 0.25629329681396484, -0.17529667913913727, 0.39531266689300537, 0.8732278347015381, -0.23774707317352295, -0.6818973422050476, 0.24396033585071564]"
226,"[-0.10196390002965927, -0.14740952849388123, 0.5477536916732788, -0.9756205081939697, 0.15990808606147766, 0.12210296094417572, 0.5412304997444153, -0.3721977174282074, -0.5782816410064697, -0.034467827528715134, 0.2517911493778229, 0.31236714124679565, -0.04437939450144768, -0.14024095237255096, 0.06108967587351799, 0.5381010174751282, 0.2116103321313858, -0.2128436118364334, 0.028080102056264877, -0.06602374464273453, 0.0055944835767149925, 0.20489585399627686, -0.12587635219097137, -0.5373355150222778, 0.9936373233795166]"
236,"[0.16606086492538452, -1.0915929079055786, 0.7845685482025146, -0.6954491138458252, -0.09650305658578873, 0.8046954870223999, 0.7256078720092773, -0.17331406474113464, -0.8309742212295532, -0.08296585083007812, 0.26554185152053833, -0.20180456340312958, 0.023151319473981857, 0.021590664982795715, 0.28054922819137573, 0.4379046559333801, -0.18479667603969574, 0.2642000615596771, 0.04866229370236397, 0.7063078880310059, 0.4295434057712555, 0.6311208605766296, -0.25357764959335327, -0.13209731876850128, 0.6456847190856934]"
246,"[-0.03313003107905388, -0.5690650939941406, 0.7432132363319397, -0.7066595554351807, 0.10444431751966476, 0.22325284779071808, 0.4818030595779419, -0.2952747642993927, -0.39300671219825745, 0.025609618052840233, 0.6441051363945007, 0.2411166876554489, 0.036738164722919464, 0.20424167811870575, -0.1076657846570015, 0.3440453112125397, 0.36672812700271606, -0.12735819816589355, -0.28484809398651123, 0.3609698414802551, 0.38320446014404297, 0.6913290619850159, 0.04968247935175896, -0.8431771397590637, 0.7356418967247009]"
256,"[0.16571363806724548, -0.5160218477249146, 0.9800665378570557, -0.4874444305896759, -0.07801234722137451, -0.11667995899915695, 0.7581689357757568, -0.3891250491142273, -0.10866045951843262, 0.40687230229377747, 0.2678672671318054, 0.12331271916627884, -0.03925355523824692, -0.3457496464252472, -0.11514387279748917, 0.609444260597229, 0.12724676728248596, 0.19363892078399658, -0.09431527554988861, -0.0824202448129654, 0.36191871762275696, 0.3033045530319214, 0.7084540724754333, -0.7560068964958191, 0.8784507513046265]"
266,"[0.10319526493549347, -0.5733540654182434, 0.2590230107307434, -0.37707415223121643, -0.3515600562095642, 0.8156841993331909, 0.8819772005081177, -0.37487101554870605, -0.46162837743759155, -0.14209337532520294, 0.2884228229522705, 0.7557777166366577, 0.06132017821073532, -0.2495032399892807, -0.17522038519382477, 0.2502138614654541, 0.44499462842941284, -0.3703461289405823, 0.7797634601593018, -0.6836642026901245, -0.25110989809036255, 0.37969642877578735, 0.043160341680049896, -0.0705818459391594, 0.8274566531181335]"
276,"[0.10282635688781738, -0.571277916431427, 1.0716633796691895, -0.7540763020515442, -0.04747023060917854, 0.4780248701572418, 0.1507464200258255, -0.6985193490982056, -0.4755670726299286, 0.2894679307937622, 0.4677983820438385, 0.13635607063770294, -0.16707120835781097, -0.08303829282522202, -0.2763572931289673, 0.6631785035133362, 0.1423584520816803, -0.12240005284547806, -0.02547006495296955, -0.19124460220336914, 0.7053985595703125, 0.24899324774742126, 0.10272159427404404, -0.5896404981613159, 1.1531941890716553]"
286,"[-0.4175204932689667, -0.5551357269287109, 0.5992233157157898, -0.9376862049102783, -0.05213794857263565, 0.06306830793619156, 0.18325135111808777, -0.29290077090263367, -0.7057522535324097, 0.27699723839759827, 0.4707848131656647, 0.5348085761070251, 0.20596319437026978, -0.15872631967067719, -0.532968282699585, 0.20670174062252045, 0.16581368446350098, -0.08396293222904205, 0.048091351985931396, -0.0024483129382133484, 0.4064190089702606, 0.1558239609003067, -0.08052917569875717, -0.5415961146354675, 0.6833401322364807]"
296,"[-0.4120141863822937, -0.6671037077903748, -0.00529573205858469, -0.7878614664077759, -0.07385562360286713, -0.22822916507720947, 0.7415053248405457, -0.47999313473701477, -0.968691349029541, 0.033936817198991776, -0.2964492738246918, 0.8469769358634949, 0.06979851424694061, 0.16023549437522888, -0.3484075665473938, 0.000821741996333003, -0.06028524041175842, -0.16381952166557312, 0.29890450835227966, -0.20656538009643555, 0.0797705352306366, 0.2789692282676697, -0.00859423354268074, -0.8018859624862671, 0.8140708804130554]"
306,"[0.30413421988487244, -0.43117135763168335, 0.22681088745594025, -0.490288108587265, 0.1361367553472519, 0.2584491968154907, 0.3015216290950775, -0.3708009421825409, -0.6153464913368225, 0.27975374460220337, 0.6317257285118103, 0.04269959777593613, 0.12863299250602722, 0.041991688311100006, -0.3299664855003357, 0.12406063824892044, 0.2617572546005249, -0.0278006661683321, -0.6694155335426331, 0.3611200451850891, 0.35018250346183777, -0.15974919497966766, 0.4662117063999176, -0.6144038438796997, 0.7355331778526306]"
316,"[-0.21267099678516388, -0.5862855315208435, 0.31685706973075867, -0.554763913154602, -0.11743958294391632, 0.13749483227729797, 0.532002329826355, -0.28724730014801025, -0.4773516356945038, -0.0066772643476724625, 0.3958902657032013, 0.30669695138931274, 0.500623881816864, 0.1011141836643219, 0.05577772855758667, 0.5265373587608337, -0.24528862535953522, -0.03869283199310303, 0.2420945167541504, -0.08447528630495071, 0.43270546197891235, 0.35957008600234985, 0.2728843092918396, -0.38495033979415894, 0.42226898670196533]"
326,"[-0.11689694970846176, -0.7828579545021057, 0.47305983304977417, -1.1482335329055786, 0.5767021775245667, 0.12763315439224243, 0.3268754780292511, -0.46420755982398987, -0.6540524363517761, 0.13273818790912628, 0.63566654920578, 0.4554165303707123, 0.003609857289120555, -0.04963543638586998, -0.5032950043678284, 0.32361429929733276, 0.14426857233047485, -0.09856011718511581, 0.05113527178764343, 0.21617376804351807, 0.342317134141922, 0.2432781457901001, 0.22611723840236664, -0.381246954202652, -0.10084644705057144]"
336,"[-0.05891365930438042, -0.37985357642173767, 0.7630494236946106, -0.6826163530349731, 0.12176508456468582, 0.35512834787368774, 0.9449750185012817, -0.7362044453620911, -0.29547709226608276, 0.14428909122943878, 0.5036521553993225, 0.09366485476493835, 0.04916089028120041, -0.10961239784955978, -0.14704404771327972, 0.3063448369503021, 0.14240767061710358, -0.07758563756942749, -0.1218135729432106, 0.03940212354063988, 0.2542232871055603, 0.23845292627811432, 0.4958057999610901, -0.42397481203079224, 0.8914475440979004]"
346,"[-0.12956544756889343, -0.7909277081489563, 0.282874196767807, -0.6671513915061951, 0.4420166015625, 0.3969692587852478, 0.745540201663971, -0.3110334575176239, -0.4843684434890747, -0.15384666621685028, 0.38043713569641113, 0.27541685104370117, 0.2987784445285797, 0.30000895261764526, -0.05985056608915329, -0.1674332320690155, 0.050733502954244614, -0.09293589740991592, 0.06849226355552673, 0.16044454276561737, 0.05655626952648163, 0.11509156972169876, 0.010086062364280224, -0.42675432562828064, 0.3750406801700592]"
356,"[0.23618532717227936, -0.6627084612846375, 0.6638308167457581, -0.5491260886192322, 0.06027905270457268, 0.1537986546754837, 0.6846304535865784, -0.564060389995575, -0.5468142628669739, 0.046076394617557526, 0.420849472284317, 0.43618544936180115, -0.09052903205156326, 0.2303699105978012, 0.03447265550494194, 0.2938905656337738, -0.37287166714668274, -0.24560585618019104, -0.03949304297566414, -0.08174985647201538, 0.012824593111872673, 0.14275293052196503, 0.45241251587867737, -0.6236588358879089, 0.7137753963470459]"
366,"[-0.10265209525823593, -0.683561384677887, 0.6729549169540405, -0.987342357635498, -0.01863892376422882, 0.31619590520858765, 0.4735363721847534, -0.22341136634349823, -0.2919543981552124, -0.012155530042946339, 0.44723257422447205, 0.23554255068302155, -0.03614361956715584, -0.01342352107167244, -0.27677133679389954, -0.12031736969947815, 0.0028753108344972134, -0.23074285686016083, 0.06010546162724495, -0.12010912597179413, -0.18908673524856567, 0.5023530721664429, 0.020439062267541885, -0.6718717813491821, 0.4712231755256653]"
376,"[0.3588108718395233, -0.4059287905693054, 0.8145990967750549, -0.4488985538482666, 0.06868202239274979, 0.11340407282114029, 0.5109639763832092, -0.6641712188720703, -0.3166968524456024, -0.12331178784370422, 0.728094220161438, 0.08311519026756287, 0.10346964001655579, 0.03845842182636261, -0.2553144693374634, 0.10689140111207962, -0.0009651086293160915, 0.2046637386083603, -0.11040864139795303, -0.09648983925580978, 0.25790220499038696, 0.41216471791267395, 0.31525102257728577, -0.6660948395729065, 0.9011578559875488]"
386,"[-0.3933151960372925, -0.18123506009578705, 0.6523151993751526, -0.9797562956809998, -0.019419144839048386, 0.24316245317459106, 0.16184628009796143, -0.49921151995658875, -0.24530458450317383, -0.3547346293926239, 0.40212222933769226, 0.045343898236751556, 0.22643984854221344, 0.15836960077285767, 0.4543003439903259, 0.1879422962665558, 0.02586578018963337, -0.13567018508911133, 0.07547659426927567, -0.10917596518993378, 0.10971970856189728, 0.28844040632247925, -0.0659850686788559, -0.11894800513982773, 0.6496009826660156]"
396,"[-0.08285422623157501, -0.30651775002479553, 0.6972602009773254, -0.6968874335289001, 0.27568620443344116, 0.0452750064432621, 0.15604214370250702, -0.432234525680542, -0.4599083662033081, -0.24179695546627045, 0.36340704560279846, 1.074228286743164, -0.1951623260974884, -0.24817804992198944, -0.14458303153514862, -0.36025354266166687, -0.5572071075439453, -0.33935824036598206, -0.011499176733195782, 0.7673947215080261, 0.04240464046597481, 0.3383387625217438, -0.3514406681060791, -0.32834380865097046, 0.8785095810890198]"
406,"[-0.36240941286087036, -0.7391271591186523, 0.6729084253311157, -0.1396988034248352, 0.012318473309278488, -0.4224165380001068, 0.03240157663822174, -0.19699148833751678, 0.3480970561504364, 0.09354771673679352, 0.37879884243011475, 0.08063837885856628, 0.4918827414512634, -0.3215152323246002, -0.4835854470729828, 0.7366357445716858, -0.36782002449035645, 0.6790874004364014, -0.34622684121131897, 0.3742278814315796, 0.6199643611907959, 0.544269323348999, 0.018075911328196526, -1.2104771137237549, 0.5577570796012878]"
416,"[-0.179656982421875, -1.2662633657455444, -0.3971305787563324, -0.6870753169059753, -0.3639119565486908, -0.29542025923728943, 0.4052383005619049, -0.08294452726840973, -0.8353057503700256, -0.3851530849933624, 0.3612826466560364, 0.20093277096748352, -0.17793908715248108, 0.0897476077079773, 0.14548812806606293, 0.24910743534564972, -0.0034513394348323345, -0.843951404094696, 0.35924193263053894, 0.4554330110549927, -0.043644122779369354, -0.1801876425743103, -0.3001502454280853, -0.1798371523618698, 0.5352884531021118]"
426,"[0.14364996552467346, -0.5747621059417725, 1.0739487409591675, -0.3788338601589203, 0.06601129472255707, -0.5829158425331116, 0.18895761668682098, -0.8136983513832092, 0.012809650041162968, -0.07183656841516495, 0.2882101237773895, 0.24331200122833252, 0.29370564222335815, -0.3713681399822235, -0.18081238865852356, -0.16998447477817535, -0.6074652671813965, 0.2319413423538208, -0.4759973883628845, 0.23042196035385132, -0.03917660936713219, 0.3902035355567932, 0.40817791223526, -0.17963503301143646, 1.2067769765853882]"
